model_id,name,author,likes,downloads,tags,parameters,pipeline_tag,last_modified
google-bert/bert-base-uncased,,,2344,58367408,"transformers, pytorch, tf, jax, rust, coreml, onnx, safetensors, bert, fill-mask, exbert, en, dataset:bookcorpus, dataset:wikipedia, arxiv:1810.04805, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,fill-mask,
xai-org/grok-1,,,2328,316,"grok, grok-1, text-generation, license:apache-2.0, region:us",,text-generation,
perplexity-ai/r1-1776,,,2281,102488,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, base_model:deepseek-ai/DeepSeek-R1, base_model:finetune:deepseek-ai/DeepSeek-R1, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
deepseek-ai/DeepSeek-R1-0528,,,2276,327097,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, arxiv:2501.12948, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, fp8, region:us",,text-generation,
BAAI/bge-m3,,,2202,4070017,"sentence-transformers, pytorch, onnx, xlm-roberta, feature-extraction, sentence-similarity, arxiv:2402.03216, arxiv:2004.04906, arxiv:2106.14807, arxiv:2107.05720, arxiv:2004.12832, license:mit, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,sentence-similarity,
meta-llama/Llama-2-70b-chat-hf,,,2192,48090,"transformers, pytorch, safetensors, llama, text-generation, facebook, meta, llama-2, conversational, en, arxiv:2307.09288, license:llama2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",70000000000.0,text-generation,
sesame/csm-1b,,,2136,30212,"safetensors, csm, text-to-speech, en, license:apache-2.0, region:us",1000000000.0,text-to-speech,
microsoft/phi-4,,,2110,462237,"transformers, safetensors, phi3, text-generation, phi, nlp, math, code, chat, conversational, en, arxiv:2412.08905, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
meta-llama/Llama-2-7b-hf,,,2102,634067,"transformers, pytorch, safetensors, llama, text-generation, facebook, meta, llama-2, en, arxiv:2307.09288, license:llama2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
ByteDance/SDXL-Lightning,,,2052,56128,"diffusers, text-to-image, stable-diffusion, arxiv:2402.13929, license:openrail++, region:us",,text-to-image,
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,,,2051,269233,"transformers, safetensors, llama, text-generation, nvidia, llama3.1, conversational, en, dataset:nvidia/HelpSteer2, arxiv:2410.01257, arxiv:2405.01481, arxiv:2406.08673, base_model:meta-llama/Llama-3.1-70B-Instruct, base_model:finetune:meta-llama/Llama-3.1-70B-Instruct, license:llama3.1, autotrain_compatible, text-generation-inference, region:us",70000000000.0,text-generation,
THUDM/chatglm2-6b,,,2050,696866,"transformers, pytorch, chatglm, glm, thudm, custom_code, zh, en, arxiv:2103.10360, arxiv:2210.02414, arxiv:1911.02150, arxiv:2406.12793, endpoints_compatible, region:us",6000000000.0,,
lllyasviel/sd_control_collection,,,2008,0,region:us,,,
meta-llama/Llama-3.2-1B,,,1988,3528874,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, arxiv:2405.16406, license:llama3.2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",1000000000.0,text-generation,
tencent/HunyuanVideo,,,1979,1749,"text-to-video, arxiv:2412.03603, arxiv:2405.07719, license:other, region:us",,text-to-video,
databricks/dolly-v2-12b,,,1956,4086,"transformers, pytorch, gpt_neox, text-generation, en, dataset:databricks/databricks-dolly-15k, license:mit, autotrain_compatible, text-generation-inference, region:us",12000000000.0,text-generation,
stabilityai/stable-diffusion-xl-refiner-1.0,,,1929,472740,"diffusers, safetensors, stable-diffusion, image-to-image, arxiv:2307.01952, arxiv:2211.01324, arxiv:2108.01073, arxiv:2112.10752, license:openrail++, diffusers:StableDiffusionXLImg2ImgPipeline, region:us",,image-to-image,
stabilityai/stable-diffusion-2,,,1898,203687,"diffusers, safetensors, stable-diffusion, text-to-image, arxiv:2202.00512, arxiv:2112.10752, arxiv:1910.09700, license:openrail++, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
Qwen/Qwen2.5-Coder-32B-Instruct,,,1897,109973,"transformers, safetensors, qwen2, text-generation, code, codeqwen, chat, qwen, qwen-coder, conversational, en, arxiv:2409.12186, arxiv:2309.00071, arxiv:2407.10671, base_model:Qwen/Qwen2.5-Coder-32B, base_model:finetune:Qwen/Qwen2.5-Coder-32B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",32000000000.0,text-generation,
mistralai/Mistral-7B-Instruct-v0.3,,,1895,1195451,"transformers, safetensors, mistral, text-generation, conversational, base_model:mistralai/Mistral-7B-v0.3, base_model:finetune:mistralai/Mistral-7B-v0.3, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
briaai/RMBG-1.4,,,1818,480687,"transformers, pytorch, onnx, safetensors, SegformerForSemanticSegmentation, image-segmentation, remove background, background, background-removal, Pytorch, vision, legal liability, transformers.js, custom_code, license:other, region:us",,image-segmentation,
openai/clip-vit-large-patch14,,,1801,11116334,"transformers, pytorch, tf, jax, safetensors, clip, zero-shot-image-classification, vision, arxiv:2103.00020, arxiv:1908.04913, endpoints_compatible, region:us",,zero-shot-image-classification,
Lightricks/LTX-Video,,,1779,482931,"diffusers, safetensors, ltx-video, image-to-video, en, license:other, diffusers:LTXPipeline, region:us",,image-to-video,
mistralai/Mistral-7B-Instruct-v0.1,,,1752,158531,"transformers, pytorch, safetensors, mistral, text-generation, finetuned, conversational, arxiv:2310.06825, base_model:mistralai/Mistral-7B-v0.1, base_model:finetune:mistralai/Mistral-7B-v0.1, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
HuggingFaceH4/zephyr-7b-beta,,,1744,396812,"transformers, pytorch, safetensors, mistral, text-generation, generated_from_trainer, conversational, en, dataset:HuggingFaceH4/ultrachat_200k, dataset:HuggingFaceH4/ultrafeedback_binarized, arxiv:2305.18290, arxiv:2310.16944, arxiv:2305.14233, arxiv:2310.01377, base_model:mistralai/Mistral-7B-v0.1, base_model:finetune:mistralai/Mistral-7B-v0.1, license:mit, model-index, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
openai/whisper-large-v2,,,1743,209831,"transformers, pytorch, tf, jax, safetensors, whisper, automatic-speech-recognition, audio, hf-asr-leaderboard, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, license:apache-2.0, endpoints_compatible, region:us",,automatic-speech-recognition,
CohereLabs/c4ai-command-r-plus,,,1742,2930,"transformers, safetensors, cohere, text-generation, conversational, en, fr, de, es, it, pt, ja, ko, zh, ar, doi:10.57967/hf/3138, license:cc-by-nc-4.0, autotrain_compatible, text-generation-inference, region:us",,text-generation,
Qwen/QwQ-32B-Preview,,,1736,28235,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2407.10671, base_model:Qwen/Qwen2.5-32B-Instruct, base_model:finetune:Qwen/Qwen2.5-32B-Instruct, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",32000000000.0,text-generation,
mistralai/Mixtral-8x7B-v0.1,,,1728,58566,"transformers, safetensors, mixtral, text-generation, moe, fr, it, de, es, en, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",7000000000.0,text-generation,
h94/IP-Adapter-FaceID,,,1726,264904,"diffusers, text-to-image, stable-diffusion, en, arxiv:2308.06721, region:us",,text-to-image,
mattshumer/Reflection-Llama-3.1-70B,,,1712,1086,"transformers, safetensors, llama, text-generation, conversational, base_model:meta-llama/Llama-3.1-70B-Instruct, base_model:finetune:meta-llama/Llama-3.1-70B-Instruct, license:llama3.1, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",70000000000.0,text-generation,
dreamlike-art/dreamlike-photoreal-2.0,,,1708,10480,"diffusers, safetensors, stable-diffusion, stable-diffusion-diffusers, text-to-image, photorealistic, photoreal, en, license:other, autotrain_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
Qwen/Qwen2.5-Omni-7B,,,1707,115999,"transformers, safetensors, qwen2_5_omni, multimodal, any-to-any, en, arxiv:2503.20215, license:other, endpoints_compatible, region:us",7000000000.0,any-to-any,
black-forest-labs/FLUX.1-Kontext-dev,,,1706,294847,"diffusers, safetensors, image-generation, flux, diffusion-single-file, image-to-image, en, arxiv:2506.15742, license:other, diffusers:FluxKontextPipeline, region:us",,image-to-image,
meta-llama/Llama-3.1-8B,,,1695,727783,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, license:llama3.1, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",8000000000.0,text-generation,
microsoft/OmniParser,,,1677,1395,"transformers, safetensors, blip-2, image-to-text, image-text-to-text, arxiv:2408.00203, license:mit, endpoints_compatible, region:us",,image-text-to-text,
deepseek-ai/DeepSeek-V3-Base,,,1661,117546,"safetensors, deepseek_v3, custom_code, arxiv:2412.19437, fp8, region:us",,,
microsoft/Phi-3-mini-128k-instruct,,,1654,503274,"transformers, safetensors, phi3, text-generation, nlp, code, conversational, custom_code, en, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
meta-llama/Llama-3.2-3B-Instruct,,,1598,1610490,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, arxiv:2405.16406, license:llama3.2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",3000000000.0,text-generation,
microsoft/Florence-2-large,,,1596,879200,"transformers, pytorch, florence2, text-generation, vision, image-text-to-text, custom_code, arxiv:2311.06242, license:mit, autotrain_compatible, region:us",,image-text-to-text,
2Noise/ChatTTS,,,1586,1066,"chat_tts, safetensors, text-to-audio, license:cc-by-nc-4.0, region:us",,text-to-audio,
gsdf/Counterfeit-V2.5,,,1573,12704,"diffusers, safetensors, stable-diffusion, stable-diffusion-diffusers, text-to-image, license:creativeml-openrail-m, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us",,text-to-image,
mistralai/Mistral-Nemo-Instruct-2407,,,1560,93720,"transformers, safetensors, mistral, text-generation, conversational, en, fr, de, es, it, pt, ru, zh, ja, base_model:mistralai/Mistral-Nemo-Base-2407, base_model:finetune:mistralai/Mistral-Nemo-Base-2407, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,text-generation,
tencent/Hunyuan3D-2,,,1548,172612,"hunyuan3d-2, diffusers, safetensors, image-to-3d, text-to-3d, en, zh, arxiv:2501.12202, arxiv:2411.02293, license:other, region:us",,image-to-3d,
EleutherAI/gpt-j-6b,,,1506,141082,"transformers, pytorch, tf, jax, gptj, text-generation, causal-lm, en, dataset:EleutherAI/pile, arxiv:2104.09864, arxiv:2101.00027, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",6000000000.0,text-generation,
stepfun-ai/GOT-OCR2_0,,,1501,73692,"safetensors, GOT, got, vision-language, ocr2.0, custom_code, image-text-to-text, multilingual, arxiv:2409.01704, arxiv:2405.14295, arxiv:2312.06109, license:apache-2.0, region:us",,image-text-to-text,
google/gemma-3-27b-it,,,1498,327698,"transformers, safetensors, gemma3, image-text-to-text, conversational, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-27b-pt, base_model:finetune:google/gemma-3-27b-pt, license:gemma, text-generation-inference, endpoints_compatible, region:us",27000000000.0,image-text-to-text,
xinsir/controlnet-union-sdxl-1.0,,,1490,171931,"diffusers, safetensors, Text-to-Image, ControlNet, Diffusers, Stable Diffusion, text-to-image, license:apache-2.0, region:us",,text-to-image,
meta-llama/Meta-Llama-3-70B-Instruct,,,1487,55892,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, base_model:meta-llama/Meta-Llama-3-70B, base_model:finetune:meta-llama/Meta-Llama-3-70B, license:llama3, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",70000000000.0,text-generation,
ds4sd/SmolDocling-256M-preview,,,1484,185771,"transformers, onnx, safetensors, idefics3, image-to-text, image-text-to-text, conversational, en, arxiv:2503.11576, arxiv:2305.03393, base_model:HuggingFaceTB/SmolVLM-256M-Instruct, base_model:quantized:HuggingFaceTB/SmolVLM-256M-Instruct, license:cdla-permissive-2.0, endpoints_compatible, region:us",,image-text-to-text,
meta-llama/Llama-3.2-11B-Vision-Instruct,,,1483,375774,"transformers, safetensors, mllama, image-to-text, facebook, meta, pytorch, llama, llama-3, image-text-to-text, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, license:llama3.2, text-generation-inference, endpoints_compatible, region:us",11000000000.0,image-text-to-text,
microsoft/Phi-4-multimodal-instruct,,,1452,329276,"transformers, safetensors, phi4mm, text-generation, nlp, code, audio, automatic-speech-recognition, speech-summarization, speech-translation, visual-question-answering, phi-4-multimodal, phi, phi-4-mini, custom_code, multilingual, ar, zh, cs, da, nl, en, fi, fr, de, he, hu, it, ja, ko, no, pl, pt, ru, es, sv, th, tr, uk, arxiv:2503.01743, arxiv:2407.13833, license:mit, autotrain_compatible, region:us",,automatic-speech-recognition,
webui/ControlNet-modules-safetensors,,,1440,0,region:us,,,
apple/OpenELM,,,1436,0,"arxiv:2404.14619, license:other, region:us",,,
facebook/bart-large-mnli,,,1431,2934652,"transformers, pytorch, jax, rust, safetensors, bart, text-classification, zero-shot-classification, dataset:multi_nli, arxiv:1910.13461, arxiv:1909.00161, license:mit, autotrain_compatible, endpoints_compatible, region:us",,zero-shot-classification,
facebook/bart-large-cnn,,,1427,3178361,"transformers, pytorch, tf, jax, rust, safetensors, bart, text2text-generation, summarization, en, dataset:cnn_dailymail, arxiv:1910.13461, license:mit, model-index, autotrain_compatible, endpoints_compatible, region:us",,summarization,
